filter_size,conv_block_idx,filter_idx,feature_idx,negative_weight,positive_weight,positive_direction,direction_label
3,0,0,0,-0.018875978887081146,-0.046801306307315826,-0.02792532742023468,negative
3,0,1,1,0.007480184081941843,0.03422601893544197,0.026745835319161415,positive
3,0,2,2,0.015420960262417793,0.04143865033984184,0.02601769007742405,positive
3,0,3,3,0.04352468624711037,0.01767764985561371,-0.02584703639149666,negative
3,0,4,4,-0.0016113785095512867,-0.04067837446928024,-0.039066996425390244,negative
3,0,5,5,0.04805075749754906,0.008132735267281532,-0.039918020367622375,negative
3,0,6,6,0.050475623458623886,0.03336520120501518,-0.017110422253608704,negative
3,0,7,7,0.04358265548944473,0.03253702074289322,-0.011045634746551514,negative
3,0,8,8,-0.015153641812503338,-0.05823192000389099,-0.04307827726006508,negative
3,0,9,9,-0.02056787721812725,-0.05991174280643463,-0.03934386372566223,negative
3,0,10,10,0.0666729286313057,0.025273889303207397,-0.0413990393280983,negative
3,0,11,11,0.019851576536893845,0.04160977900028229,0.021758202463388443,positive
3,0,12,12,-0.018965987488627434,0.028325678780674934,0.04729166626930237,positive
3,0,13,13,0.03276551887392998,-0.01928641088306904,-0.052051931619644165,negative
3,0,14,14,-0.014775647781789303,0.00536242313683033,0.020138069987297058,positive
3,0,15,15,-0.013554886914789677,0.004977877251803875,0.01853276416659355,positive
3,0,16,16,-0.037352047860622406,-0.030799368396401405,0.006552679464221001,positive
3,0,17,17,0.05688827112317085,0.03961561620235443,-0.01727265492081642,negative
3,0,18,18,-0.01350539829581976,0.007032785564661026,0.02053818479180336,positive
3,0,19,19,-0.016621632501482964,-0.05490788817405701,-0.038286253809928894,negative
3,0,20,20,-0.038809459656476974,0.0029133029747754335,0.04172276332974434,positive
3,0,21,21,-0.010611070320010185,0.005480853840708733,0.016091924160718918,positive
3,0,22,22,0.01731475070118904,0.05083172023296356,0.03351696953177452,positive
3,0,23,23,0.007542805280536413,0.03233112767338753,0.024788321927189827,positive
3,0,24,24,0.020243583247065544,0.016218803822994232,-0.004024779424071312,negative
3,0,25,25,-0.04200971871614456,-0.018643483519554138,0.023366235196590424,positive
3,0,26,26,0.021335875615477562,-0.0045493608340620995,-0.025885235518217087,negative
3,0,27,27,0.021358897909522057,-0.013814838603138924,-0.03517373651266098,negative
3,0,28,28,0.03687624633312225,0.056550730019807816,0.019674483686685562,positive
3,0,29,29,0.006268324330449104,-0.024380750954151154,-0.030649075284600258,negative
3,0,30,30,0.046246178448200226,0.02250080369412899,-0.023745374754071236,negative
3,0,31,31,0.012539887800812721,-0.018511511385440826,-0.031051399186253548,negative
3,0,32,32,-0.013124169781804085,-0.01416446641087532,-0.0010402966290712357,negative
3,0,33,33,-0.03290529549121857,-0.007964767515659332,0.024940527975559235,positive
3,0,34,34,0.04721143841743469,0.03541768714785576,-0.011793751269578934,negative
3,0,35,35,0.005867783911526203,0.020781023427844048,0.014913239516317844,positive
3,0,36,36,-0.014542527496814728,-0.054422032088041306,-0.03987950459122658,negative
3,0,37,37,-0.04358448460698128,-0.002108624204993248,0.04147586226463318,positive
3,0,38,38,-0.01445174403488636,0.013459354639053345,0.027911098673939705,positive
3,0,39,39,0.00201107794418931,0.018715856596827507,0.016704779118299484,positive
3,0,40,40,0.0332992821931839,0.006612515076994896,-0.026686767116189003,negative
3,0,41,41,-0.0003272867470514029,-0.020989643409848213,-0.020662356168031693,negative
3,0,42,42,-0.003517286153510213,0.02671673148870468,0.030234018340706825,positive
3,0,43,43,0.02999812550842762,0.009684898890554905,-0.02031322568655014,negative
3,0,44,44,0.013329008594155312,0.000869923853315413,-0.012459084391593933,negative
3,0,45,45,-0.0014613785315304995,0.037191569805145264,0.038652949035167694,positive
3,0,46,46,0.025286966934800148,-0.009054149501025677,-0.03434111550450325,negative
3,0,47,47,0.047173336148262024,0.010915117338299751,-0.03625822067260742,negative
3,0,48,48,0.02413219027221203,0.054764747619628906,0.030632557347416878,positive
3,0,49,49,0.007667805068194866,0.038071442395448685,0.030403636395931244,positive
3,0,50,50,-0.009498530067503452,-9.783401765162125e-05,0.009400696493685246,positive
3,0,51,51,0.03819200024008751,0.021894892677664757,-0.016297107562422752,negative
3,0,52,52,0.03060225583612919,0.04399672523140907,0.013394469395279884,positive
3,0,53,53,0.02441183477640152,-0.024254918098449707,-0.04866675287485123,negative
3,0,54,54,0.004058305639773607,0.02138001285493374,0.01732170768082142,positive
3,0,55,55,-0.07623381912708282,-0.027864741161465645,0.04836907982826233,positive
3,0,56,56,0.05763963609933853,0.0419384129345417,-0.01570122316479683,negative
3,0,57,57,0.0040779453702270985,-0.031095324084162712,-0.03517327085137367,negative
3,0,58,58,-0.03056968003511429,-0.0007007109234109521,0.029868969693779945,positive
3,0,59,59,0.01850488781929016,0.04295281320810318,0.02444792538881302,positive
3,0,60,60,-0.02900259755551815,-0.006554214749485254,0.022448383271694183,positive
3,0,61,61,-0.027817538008093834,-0.00026059398078359663,0.027556944638490677,positive
3,0,62,62,-0.043285343796014786,-0.03761520981788635,0.005670133978128433,positive
3,0,63,63,-0.009110518731176853,0.02751283161342144,0.03662335127592087,positive
3,0,64,64,0.029310282319784164,0.012179598212242126,-0.017130684107542038,negative
3,0,65,65,-0.0009697966743260622,0.0012086580973118544,0.0021784547716379166,positive
3,0,66,66,0.04070150479674339,0.0207588542252779,-0.019942650571465492,negative
3,0,67,67,-0.04331107437610626,-0.016892923042178154,0.026418151333928108,positive
3,0,68,68,0.011528655886650085,0.043560829013586044,0.03203217312693596,positive
3,0,69,69,-0.002372296992689371,-0.0022083655931055546,0.00016393139958381653,positive
3,0,70,70,0.004657507874071598,0.0337071418762207,0.02904963493347168,positive
3,0,71,71,0.0217239148914814,-0.006441259291023016,-0.028165174648165703,negative
3,0,72,72,-0.05821781978011131,-0.04416748881340027,0.014050330966711044,positive
3,0,73,73,0.05108802393078804,0.024944797158241272,-0.026143226772546768,negative
3,0,74,74,0.023202624171972275,-0.010698913596570492,-0.03390153869986534,negative
3,0,75,75,0.03959168866276741,0.044001683592796326,0.004409994930028915,positive
3,0,76,76,-0.002909438917413354,-0.010423638857901096,-0.007514200173318386,negative
3,0,77,77,-0.018109189346432686,0.0072862268425524235,0.025395415723323822,positive
3,0,78,78,-0.018048981204628944,0.019246049225330353,0.03729502856731415,positive
3,0,79,79,0.017242835834622383,-0.015077314339578152,-0.03232014924287796,negative
3,0,80,80,0.06733398139476776,0.04291814938187599,-0.02441583201289177,negative
3,0,81,81,-0.010579509660601616,-0.028784170746803284,-0.018204661086201668,negative
3,0,82,82,-0.0026626926846802235,0.03878553584218025,0.04144822806119919,positive
3,0,83,83,0.033214353024959564,0.011535718105733395,-0.021678633987903595,negative
3,0,84,84,0.0009027922060340643,-0.023342996835708618,-0.024245789274573326,negative
3,0,85,85,-0.02591601386666298,-0.05312714725732803,-0.027211133390665054,negative
3,0,86,86,0.06794335693120956,0.030123377218842506,-0.03781998157501221,negative
3,0,87,87,-0.04908285290002823,-0.01188534777611494,0.037197504192590714,positive
3,0,88,88,-0.017975926399230957,-0.0327855683863163,-0.014809641987085342,negative
3,0,89,89,-0.0389113612473011,0.005385112948715687,0.044296473264694214,positive
3,0,90,90,-0.023181583732366562,-0.0574965663254261,-0.03431498259305954,negative
3,0,91,91,0.05017181485891342,0.044740356504917145,-0.005431458353996277,negative
3,0,92,92,0.015047682449221611,0.005965305492281914,-0.009082376956939697,negative
3,0,93,93,-0.031464725732803345,-0.03077477589249611,0.0006899498403072357,positive
3,0,94,94,-0.033661991357803345,0.011977571994066238,0.04563956335186958,positive
3,0,95,95,0.017073165625333786,-0.001423015259206295,-0.018496181815862656,negative
3,0,96,96,0.03875920921564102,0.030291980132460594,-0.008467229083180428,negative
3,0,97,97,0.048245418816804886,0.010848458856344223,-0.03739695996046066,negative
3,0,98,98,0.013809735886752605,0.020129187032580376,0.00631945114582777,positive
3,0,99,99,-0.025351179763674736,-0.05732138082385063,-0.031970202922821045,negative
4,1,0,100,0.003567073494195938,0.011938182637095451,0.008371109142899513,positive
4,1,1,101,-0.010078140534460545,0.005305320490151644,0.015383461490273476,positive
4,1,2,102,0.01783442497253418,-0.01319099310785532,-0.031025417149066925,negative
4,1,3,103,-0.03905617445707321,-0.04440126568078995,-0.005345091223716736,negative
4,1,4,104,0.003191385418176651,0.01791137084364891,0.01471998542547226,positive
4,1,5,105,0.028998995199799538,-0.007951374165713787,-0.03695036843419075,negative
4,1,6,106,0.01781575381755829,0.028468651697039604,0.010652897879481316,positive
4,1,7,107,0.04662923142313957,0.0310196690261364,-0.015609562397003174,negative
4,1,8,108,-0.03876565769314766,-0.006243736017495394,0.03252192214131355,positive
4,1,9,109,0.013759366236627102,-0.005562411621212959,-0.019321776926517487,negative
4,1,10,110,0.036146149039268494,0.0549527183175087,0.018806569278240204,positive
4,1,11,111,0.04886580631136894,0.010787728242576122,-0.038078077137470245,negative
4,1,12,112,-0.005467641167342663,0.014535999856889248,0.02000364102423191,positive
4,1,13,113,0.03722458332777023,-0.0028903933707624674,-0.04011497646570206,negative
4,1,14,114,-0.009365204721689224,-0.047299209982156754,-0.03793400526046753,negative
4,1,15,115,0.021029338240623474,0.008730411529541016,-0.012298926711082458,negative
4,1,16,116,-0.02953779697418213,-0.0013743118615821004,0.02816348522901535,positive
4,1,17,117,-0.012041152454912663,0.01442300621420145,0.026464158669114113,positive
4,1,18,118,-0.029280103743076324,0.005082150921225548,0.03436225652694702,positive
4,1,19,119,-0.05201466381549835,0.011079586111009121,0.06309425085783005,positive
4,1,20,120,0.031068507581949234,0.020060760900378227,-0.011007746681571007,negative
4,1,21,121,-0.017997466027736664,0.022041253745555878,0.04003871977329254,positive
4,1,22,122,0.01907779835164547,0.011378643102943897,-0.007699155248701572,negative
4,1,23,123,-0.039821527898311615,0.002981998957693577,0.04280352592468262,positive
4,1,24,124,0.006427066400647163,-0.031853899359703064,-0.03828096389770508,negative
4,1,25,125,-0.042801156640052795,-0.01782139763236046,0.024979759007692337,positive
4,1,26,126,0.03301164135336876,0.012548851780593395,-0.02046278864145279,negative
4,1,27,127,0.03678862005472183,3.390910569578409e-05,-0.03675471246242523,negative
4,1,28,128,-0.029874926432967186,-0.06601845473051071,-0.036143526434898376,negative
4,1,29,129,-0.0071218847297132015,-0.0038335956633090973,0.0032882890664041042,positive
4,1,30,130,0.006948369555175304,0.002054359996691346,-0.004894009791314602,negative
4,1,31,131,-0.0059967138804495335,0.020877981558442116,0.026874694973230362,positive
4,1,32,132,0.01028470229357481,0.047486819326877594,0.03720211610198021,positive
4,1,33,133,-0.02870895341038704,-0.0059774648398160934,0.022731488570570946,positive
4,1,34,134,-0.02541539818048477,0.011067258194088936,0.03648265451192856,positive
4,1,35,135,0.00881686806678772,0.026750758290290833,0.017933890223503113,positive
4,1,36,136,0.007246638182550669,-0.023496804758906364,-0.030743442475795746,negative
4,1,37,137,0.042945992201566696,0.06309878081083298,0.02015278860926628,positive
4,1,38,138,-0.030478740110993385,0.015080698765814304,0.045559439808130264,positive
4,1,39,139,0.0014736748998984694,0.01703248918056488,0.015558814629912376,positive
4,1,40,140,-0.037004273384809494,-0.04315692186355591,-0.006152648478746414,negative
4,1,41,141,0.00342871667817235,0.01591198518872261,0.012483268976211548,positive
4,1,42,142,-0.04511624574661255,-0.013834810815751553,0.03128143399953842,positive
4,1,43,143,0.0013827953953295946,0.036192841827869415,0.03481004759669304,positive
4,1,44,144,-0.014944925904273987,0.009999212808907032,0.024944137781858444,positive
4,1,45,145,4.3554609874263406e-05,0.030272969976067543,0.030229415744543076,positive
4,1,46,146,-0.007466261275112629,-0.024487705901265144,-0.01702144369482994,negative
4,1,47,147,-0.030822783708572388,-0.02774074301123619,0.003082040697336197,positive
4,1,48,148,-0.00946882925927639,-0.04824244976043701,-0.03877361863851547,negative
4,1,49,149,-0.010711835697293282,-0.03261629119515419,-0.02190445549786091,negative
4,1,50,150,-0.004232925362884998,-0.015769004821777344,-0.011536079458892345,negative
4,1,51,151,-0.023047033697366714,-0.0057684569619596004,0.017278576269745827,positive
4,1,52,152,-0.013802766799926758,-0.03716852143406868,-0.023365754634141922,negative
4,1,53,153,-0.0038739147130399942,0.026047509163618088,0.02992142364382744,positive
4,1,54,154,0.0029684172477573156,-0.029496531933546066,-0.032464947551488876,negative
4,1,55,155,-0.08285634964704514,-0.025175699964165688,0.0576806515455246,positive
4,1,56,156,0.01928236521780491,-0.029055822640657425,-0.04833818972110748,negative
4,1,57,157,-0.0007170721073634923,0.005734765436500311,0.006451837718486786,positive
4,1,58,158,-0.023015854880213737,-0.0005888501182198524,0.02242700383067131,positive
4,1,59,159,0.0516890250146389,0.029702123254537582,-0.02198690176010132,negative
4,1,60,160,-0.052402205765247345,-0.004116004332900047,0.04828619956970215,positive
4,1,61,161,-0.01655254140496254,-0.03875698894262314,-0.0222044475376606,negative
4,1,62,162,-0.03709516301751137,-0.03255997970700264,0.004535183310508728,positive
4,1,63,163,-0.053395263850688934,-0.028021320700645447,0.025373943150043488,positive
4,1,64,164,-0.03932926431298256,0.0030703807715326548,0.04239964485168457,positive
4,1,65,165,-0.02928466908633709,0.0048583135940134525,0.034142982214689255,positive
4,1,66,166,-0.030697789043188095,-0.016530683264136314,0.01416710577905178,positive
4,1,67,167,-0.029943197965621948,-0.004026489332318306,0.025916708633303642,positive
4,1,68,168,0.013297246769070625,0.040572766214609146,0.02727551944553852,positive
4,1,69,169,0.0041446685791015625,0.04050469398498535,0.03636002540588379,positive
4,1,70,170,0.014201723039150238,0.027322595939040184,0.013120872899889946,positive
4,1,71,171,-0.02055392600595951,0.0099295349791646,0.030483461916446686,positive
4,1,72,172,0.012430243194103241,-0.00938213337212801,-0.021812375634908676,negative
4,1,73,173,0.02108844928443432,-0.015062461607158184,-0.03615090996026993,negative
4,1,74,174,-0.005542034283280373,0.00929662398993969,0.014838658273220062,positive
4,1,75,175,-0.00037854525726288557,0.035637274384498596,0.036015819758176804,positive
4,1,76,176,0.012193930335342884,0.02130388468503952,0.009109954349696636,positive
4,1,77,177,0.011159652844071388,0.01961354911327362,0.008453896269202232,positive
4,1,78,178,-0.020880676805973053,0.0017877009231597185,0.022668378427624702,positive
4,1,79,179,-0.04945335164666176,-0.027046695351600647,0.02240665629506111,positive
4,1,80,180,-0.023844348266720772,-0.04046967625617981,-0.016625327989459038,negative
4,1,81,181,0.028644246980547905,-0.006545329932123423,-0.03518957644701004,negative
4,1,82,182,-0.010040082037448883,0.0018037407426163554,0.01184382289648056,positive
4,1,83,183,0.007556981407105923,0.025075631216168404,0.017518650740385056,positive
4,1,84,184,0.0077377003617584705,0.02130044624209404,0.013562746345996857,positive
4,1,85,185,0.0009340479737147689,0.010328799486160278,0.009394751861691475,positive
4,1,86,186,0.01219417154788971,-0.01230577938258648,-0.02449995093047619,negative
4,1,87,187,0.046334002166986465,0.012941626831889153,-0.03339237719774246,negative
4,1,88,188,-0.04469563066959381,-0.022321708500385284,0.022373922169208527,positive
4,1,89,189,0.00930958054959774,-0.011861289851367474,-0.02117086946964264,negative
4,1,90,190,0.008438922464847565,0.007347176317125559,-0.0010917461477220058,negative
4,1,91,191,-0.006481995806097984,-0.030840754508972168,-0.024358758702874184,negative
4,1,92,192,0.0022246306762099266,-0.017279015854001045,-0.019503645598888397,negative
4,1,93,193,-0.00045514502562582493,-0.019055163487792015,-0.018600018694996834,negative
4,1,94,194,0.043274328112602234,0.006513759959489107,-0.036760568618774414,negative
4,1,95,195,-0.024617349728941917,0.006500652525573969,0.0311180017888546,positive
4,1,96,196,0.017187457531690598,0.005412743426859379,-0.011774714104831219,negative
4,1,97,197,-0.004979513585567474,-0.01367717795073986,-0.008697664365172386,negative
4,1,98,198,0.039597734808921814,0.008979960344731808,-0.03061777353286743,negative
4,1,99,199,0.018255410715937614,-0.0013889678521081805,-0.019644377753138542,negative
5,2,0,200,-0.06217702105641365,-0.04785904660820961,0.01431797444820404,positive
5,2,1,201,0.029390821233391762,0.05216687545180321,0.022776054218411446,positive
5,2,2,202,0.03304177150130272,-0.005254724528640509,-0.038296494632959366,negative
5,2,3,203,-0.011686859652400017,0.008542714640498161,0.020229574292898178,positive
5,2,4,204,0.022211812436580658,-0.003801644779741764,-0.026013456284999847,negative
5,2,5,205,-0.02919892594218254,-0.022131871432065964,0.007067054510116577,positive
5,2,6,206,0.016420450061559677,-0.01260132621973753,-0.02902177721261978,negative
5,2,7,207,-0.01235185842961073,0.041535042226314545,0.05388690158724785,positive
5,2,8,208,0.01930163986980915,-0.0018471310613676906,-0.021148771047592163,negative
5,2,9,209,0.007101758383214474,0.054319072514772415,0.04721731320023537,positive
5,2,10,210,0.018310213461518288,0.0013730541104450822,-0.01693715900182724,negative
5,2,11,211,-0.003747138660401106,0.0026340188924223185,0.006381157785654068,positive
5,2,12,212,-0.018959248438477516,-0.04607690870761871,-0.027117660269141197,negative
5,2,13,213,-0.0010608755983412266,-0.037885699421167374,-0.036824822425842285,negative
5,2,14,214,-0.035752881318330765,-0.05259387940168381,-0.016840998083353043,negative
5,2,15,215,0.017279135063290596,-0.013916054740548134,-0.03119518980383873,negative
5,2,16,216,-0.015309839509427547,0.017994552850723267,0.03330439329147339,positive
5,2,17,217,0.022923246026039124,-0.01933354139328003,-0.04225678741931915,negative
5,2,18,218,0.01686798222362995,0.037412092089653015,0.020544109866023064,positive
5,2,19,219,-0.019970210269093513,0.01424181554466486,0.03421202674508095,positive
5,2,20,220,-0.029028471559286118,-0.01227309089154005,0.016755379736423492,positive
5,2,21,221,0.02142254263162613,0.03860114887356758,0.017178606241941452,positive
5,2,22,222,-0.02570190280675888,0.012167704291641712,0.03786960616707802,positive
5,2,23,223,-0.04809626564383507,-0.053693220019340515,-0.005596954375505447,negative
5,2,24,224,-0.03333933651447296,-0.0037441973108798265,0.029595138505101204,positive
5,2,25,225,0.009344822727143764,-0.010462779551744461,-0.0198076032102108,negative
5,2,26,226,-0.012460809201002121,0.012210135348141193,0.02467094361782074,positive
5,2,27,227,-0.039175648242235184,-0.04296925663948059,-0.003793608397245407,negative
5,2,28,228,0.010163979604840279,0.03131132572889328,0.021147346124053,positive
5,2,29,229,-0.021472517400979996,0.017868947237730026,0.03934146463871002,positive
5,2,30,230,-0.019467739388346672,0.006781203672289848,0.02624894306063652,positive
5,2,31,231,-0.05301682651042938,-0.03725218027830124,0.015764646232128143,positive
5,2,32,232,-0.056818198412656784,-0.026472926139831543,0.03034527227282524,positive
5,2,33,233,-0.02938704565167427,-0.02086482010781765,0.00852222554385662,positive
5,2,34,234,0.012755024246871471,-0.014471158385276794,-0.02722618356347084,negative
5,2,35,235,-0.026599274948239326,-0.04823287948966026,-0.021633604541420937,negative
5,2,36,236,0.05485980585217476,0.003498431295156479,-0.05136137455701828,negative
5,2,37,237,0.0036571139935404062,0.0008411374874413013,-0.002815976506099105,negative
5,2,38,238,0.043856024742126465,0.02585233561694622,-0.018003689125180244,negative
5,2,39,239,-0.029226498678326607,-0.07045475393533707,-0.04122825711965561,negative
5,2,40,240,0.005179396830499172,-0.025112435221672058,-0.030291832983493805,negative
5,2,41,241,0.0186091847717762,0.0033570448867976665,-0.015252139419317245,negative
5,2,42,242,-0.06170736253261566,-0.04361423850059509,0.01809312403202057,positive
5,2,43,243,-0.03490694612264633,-0.036552298814058304,-0.001645352691411972,negative
5,2,44,244,-0.00940651074051857,-0.05104336515069008,-0.04163685441017151,negative
5,2,45,245,0.020084640011191368,0.04868388921022415,0.028599249199032784,positive
5,2,46,246,-0.014820070005953312,-0.033391546458005905,-0.018571477383375168,negative
5,2,47,247,0.030420033261179924,-0.004994785413146019,-0.03541481867432594,negative
5,2,48,248,-0.0171419195830822,-0.006708431523293257,0.010433487594127655,positive
5,2,49,249,0.005668750498443842,0.04648701846599579,0.040818266570568085,positive
5,2,50,250,-0.011993958614766598,-0.03247189149260521,-0.020477931946516037,negative
5,2,51,251,-0.009980644099414349,-0.028340622782707214,-0.01835997775197029,negative
5,2,52,252,0.0018708216957747936,0.0027860018890351057,0.0009151801932603121,positive
5,2,53,253,-0.0061304871924221516,0.03157367929816246,0.037704166024923325,positive
5,2,54,254,-0.061941735446453094,-0.0290920939296484,0.032849639654159546,positive
5,2,55,255,-0.027251111343503,0.020074734464287758,0.047325845807790756,positive
5,2,56,256,0.012102494947612286,-0.00994999147951603,-0.02205248549580574,negative
5,2,57,257,0.04011313244700432,0.00993186142295599,-0.030181270092725754,negative
5,2,58,258,-0.03733152523636818,-0.00597406318411231,0.03135746344923973,positive
5,2,59,259,0.04722015559673309,0.02396189421415329,-0.023258261382579803,negative
5,2,60,260,-0.007814914919435978,-0.04999251291155815,-0.04217759892344475,negative
5,2,61,261,-0.0249213594943285,0.0053154295310378075,0.03023678809404373,positive
5,2,62,262,-0.01837031915783882,0.0029387595131993294,0.021309077739715576,positive
5,2,63,263,0.020995886996388435,0.0015988948289304972,-0.019396992400288582,negative
5,2,64,264,-0.008107482455670834,-0.004219340160489082,0.0038881422951817513,positive
5,2,65,265,0.022636760026216507,0.0019930002745240927,-0.02064375951886177,negative
5,2,66,266,-0.03168207406997681,-0.016731971874833107,0.0149501021951437,positive
5,2,67,267,0.022509895265102386,0.018540874123573303,-0.003969021141529083,negative
5,2,68,268,0.04724648594856262,0.02917766571044922,-0.018068820238113403,negative
5,2,69,269,0.0008661456522531807,0.0355256088078022,0.03465946391224861,positive
5,2,70,270,-0.003103318391367793,0.019985269755125046,0.023088587448000908,positive
5,2,71,271,0.03115876391530037,0.038583140820264816,0.007424376904964447,positive
5,2,72,272,0.030415641143918037,0.07190787047147751,0.04149223119020462,positive
5,2,73,273,0.023510731756687164,-0.0032151788473129272,-0.02672591060400009,negative
5,2,74,274,-0.002537154359742999,-0.022045865654945374,-0.019508711993694305,negative
5,2,75,275,0.012296845205128193,-0.014016798697412014,-0.026313643902540207,negative
5,2,76,276,0.00020059957751072943,0.005354355089366436,0.005153755657374859,positive
